source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,"@LeRoyal_Pegasus: “Show me someone without an ego and I'll show you a loser.” ― @realDonaldTrump",10-28-2014 12:00:14,79,107,false,527067312730693632
Twitter for Android,.@katyperry  Katy what the hell were you thinking when you married loser Russell Brand. There is a guy who has got nothing going a waste!,10-16-2014 23:52:22,6967,6872,false,522897870891261952
Twitter Web Client,I watched Russell Brand @rustyrockets on the @jimmyfallon show the other night—what the hell do people see in Russell—a major loser!,10-16-2014 20:50:24,360,449,false,522852077488185344
Twitter Web Client,Lightweight @AGSchneiderman is driving business &amp; jobs out of NY. Only wants self publicity—a total loser!,10-15-2014 16:18:38,34,34,false,522421300124729344
Twitter for Android,"@DRJAMESCABOT: Donald you're so handsome... i can speak... Paltrow loser... Trump 2016 rock n roll back in the OVAL not Paltrow",10-13-2014 11:29:02,100,100,false,521623643257049088
Twitter Web Client,Lightweight @AGSchneiderman will probably win only because he is a Dem in NY but what a loser!,10-10-2014 14:32:48,16,43,false,520582724533641216
Twitter for Android,Every time I speak of the haters and losers I do so with great love and affection. They cannot help the fact that they were born fucked up!,09-29-2014 00:21:19,34453,34807,false,516382177798680576
Twitter for Android,I wonder if I run for PRESIDENT will the haters and losers vote for me knowing that I will MAKE AMERICA GREAT AGAIN? I say they will!,09-26-2014 22:52:39,8031,7021,false,515635087275474944
Twitter for Android,What separates the winners from the losers is how a person reacts to each new twist of fate.,09-20-2014 09:03:24,615,515,false,513252073727873024
Twitter for Android,I have nothing to do with Atlantic City-sold years ago (great timing). For losers and haters I NEVER went bankrupt. Plus $10 billion sorry,09-13-2014 23:54:43,290,473,false,510939662685593600
Twitter Web Client,Congratulations to @rushlimbaugh on his recent 26th year anniversary. Rush has revolutionized talk radio! Sorry haters and losers!,08-05-2014 19:04:25,152,238,false,496733481196851200
Twitter for Android,.@FrankLuntz works really hard but is a guy who just doesn't have it - a total loser!,08-04-2014 02:22:49,71,73,false,496119034543636480
Twitter for Android,"@seankesser: @Ross_7_7 @4politics2 @lonepatrick Trump is a winner. EVERYONE knows that.Some LOSERS don't acknowledge it yet follow him",07-24-2014 03:06:24,16,36,false,492143732624330753
Twitter for Android,Again for all of the haters and losers I have NOTHING to do with Atlantic City - got out a long time ago!,07-14-2014 13:04:39,135,199,false,488670411119267840
Twitter for Android,"@FSMalang: "Show me a man without an ego and I'll show you a loser" - Donald Trump",07-08-2014 05:32:36,217,206,false,486382318819352577
Twitter for Android,Happy 4th of July to everyone  including the haters and losers!,07-04-2014 04:57:34,6244,5729,false,484923950917353473
Twitter Web Client,“Failures are expected by losers ignored by winners.”  -- @CoachJoeGibbs,06-26-2014 14:13:23,226,193,false,482164726391390208
Twitter Web Client,The dying @NYDailyNews asked me to do an Editorial on the Central Park 5 ripoff  &amp; then they pretend it was my idea. Loser newspaper!,06-23-2014 17:16:41,65,74,false,481123689644457984
Twitter for Android,"@jperk1: @realDonaldTrump Goldberger was a loser"  True really bad taste - but he's gone now!,06-22-2014 08:15:00,9,12,false,480624986294456321
Twitter Web Client,PM Sarah Westcot-Williams incompetence should not be rewarded. You should vote for anyone who runs against her—loser! @PrimeMinisterSX,06-19-2014 20:02:08,16,16,false,479715774731673600
Twitter for Android,"@bigD921: @realDonaldTrump @jrnicholas8 I hope we can survive the rest of this losers 8 year term",06-17-2014 03:02:20,29,58,false,478734358266667008
Twitter for Android,I would like to wish all fathers even the haters and losers a very happy Fathers Day.,06-15-2014 03:37:09,4078,3893,false,478018343967162369
