<<<<<<< HEAD
,Article identifier (PMID),DrugProt relation,Interactor argument 1,Interactor argument 2
199,23521080,8,T3,T12
200,12407077,11,T19,T25
201,12407077,11,T19,T27
202,12407077,11,T19,T28
203,12407077,8,T12,T26
204,12407077,8,T10,T20
205,12407077,8,T11,T20
206,18450949,1,T5,T19
207,18450949,1,T1,T10
208,18450949,7,T1,T12
209,18450949,7,T4,T16
210,18450949,7,T1,T11
211,18450949,7,T5,T20
212,16449355,7,T1,T11
213,16449355,7,T1,T12
214,23436650,5,T8,T19
215,23436650,5,T9,T19
216,23436650,5,T10,T19
217,23436650,5,T11,T19
218,17092971,1,T1,T50
219,17092971,1,T10,T50
220,17092971,1,T19,T50
221,17092971,1,T21,T50
222,17092971,4,T11,T42
223,17092971,7,T2,T39
224,17092971,7,T3,T39
225,17092971,7,T4,T39
226,17092971,4,T12,T42
227,17092971,4,T13,T42
228,17092971,4,T14,T42
229,17092971,4,T15,T42
230,17092971,4,T16,T42
231,17092971,6,T7,T40
232,17092971,8,T7,T41
233,23435916,6,T4,T12
234,23435916,6,T4,T13
235,23435916,10,T5,T12
236,23435916,10,T6,T12
237,23435916,10,T7,T13
238,23435916,6,T9,T14
239,23435916,6,T9,T15
240,23435916,6,T9,T16
241,23435916,8,T10,T17
242,23435916,8,T10,T18
243,19203467,8,T57,T81
244,19203467,8,T26,T61
245,19203467,8,T33,T63
246,19203467,8,T26,T63
247,19203467,8,T33,T61
248,19203467,8,T29,T68
249,19203467,8,T29,T69
250,19203467,8,T30,T68
251,19203467,8,T30,T69
252,19203467,8,T46,T77
253,19203467,8,T47,T77
254,19203467,8,T50,T78
255,19203467,8,T50,T79
256,19203467,8,T1,T60
257,19203467,8,T1,T80
258,19203467,8,T9,T64
259,19203467,8,T9,T65
260,19203467,8,T12,T66
261,19203467,8,T5,T62
262,10421446,8,T35,T44
263,10421446,8,T18,T41
264,10421446,8,T18,T42
265,10421446,0,T20,T42
266,10421446,0,T21,T42
267,10421446,0,T22,T42
268,10421446,0,T23,T42
269,10421446,8,T33,T43
270,10421446,0,T32,T43
271,10421446,0,T31,T43
272,10421446,0,T14,T38
273,10421446,0,T15,T38
274,10421446,0,T14,T39
275,10421446,0,T15,T39
276,10421446,8,T12,T38
277,10421446,8,T12,T39
278,10421446,0,T29,T43
279,10421446,0,T30,T43
280,17899080,9,T3,T16
281,17899080,9,T7,T16
282,17899080,9,T1,T18
283,17899080,9,T1,T19
284,17899080,9,T2,T20
285,17899080,9,T2,T21
286,17899080,9,T6,T23
287,17899080,9,T6,T24
288,23537701,0,T1,T16
289,23537701,0,T1,T17
290,23537701,0,T6,T16
291,23537701,0,T6,T17
292,23537701,6,T2,T14
293,23643631,0,T16,T33
294,23643631,0,T16,T34
295,23643631,0,T16,T35
296,23643631,0,T8,T24
297,23643631,0,T8,T26
298,23643631,0,T8,T27
299,23643631,8,T8,T28
300,23643631,7,T9,T29
301,23643631,10,T10,T29
302,23643631,10,T11,T29
303,23643631,0,T12,T30
304,23643631,0,T12,T31
305,23643631,0,T15,T18
306,23643631,8,T2,T18
307,23643631,0,T4,T19
308,23643631,0,T4,T20
309,23643631,0,T4,T21
310,23643631,0,T4,T22
311,23643631,0,T5,T22
312,23643631,0,T6,T23
313,23333897,0,T3,T13
314,22469988,11,T2,T10
315,23261705,8,T2,T15
316,23261705,8,T2,T17
317,23261705,8,T2,T18
318,23261705,8,T2,T19
319,23261705,6,T1,T25
320,23261705,6,T1,T26
321,23261705,6,T1,T4
322,23261705,6,T1,T27
323,23261705,6,T1,T24
324,8647296,4,T6,T20
325,11078030,8,T3,T7
326,11078030,8,T4,T7
327,11078030,8,T5,T7
328,11078030,8,T3,T6
329,11078030,8,T4,T6
330,11078030,8,T5,T6
331,11078030,8,T1,T8
332,14662656,0,T3,T11
333,14662656,11,T5,T14
334,14662656,11,T8,T20
335,23281812,8,T6,T20
336,23281812,8,T6,T21
337,16819260,5,T1,T19
338,16819260,0,T1,T19
339,16819260,5,T1,T13
340,16819260,0,T1,T13
341,16819260,5,T7,T15
342,16819260,5,T7,T16
343,16819260,5,T8,T15
344,16819260,5,T8,T16
345,16819260,5,T9,T15
346,16819260,5,T9,T16
347,23404093,4,T5,T12
348,23404093,4,T6,T14
349,23404093,4,T8,T16
350,23404093,4,T9,T16
351,12227806,4,T9,T11
352,12227806,4,T5,T10
353,23395717,0,T5,T16
354,23395717,8,T3,T6
355,23395717,8,T3,T11
356,23395717,8,T1,T6
357,23395717,8,T1,T11
358,23395717,8,T2,T9
359,23483201,10,T2,T27
360,23483201,10,T2,T28
361,23483201,10,T13,T30
362,23483201,10,T13,T31
363,12170055,1,T26,T41
364,12170055,1,T14,T36
365,12170055,4,T22,T40
366,12170055,4,T23,T40
367,12170055,5,T25,T27
368,12170055,5,T1,T28
369,12170055,1,T6,T30
370,12170055,4,T9,T31
371,12170055,4,T10,T31
372,12170055,5,T11,T32
373,12170055,1,T12,T33
374,12170055,1,T12,T34
375,12170055,0,T3,T29
376,23296142,0,T7,T26
377,23296142,0,T7,T30
378,23296142,7,T9,T11
379,23296142,7,T1,T11
380,23296142,4,T2,T13
381,23296142,8,T2,T12
382,23296142,8,T3,T14
383,23296142,8,T3,T15
384,23296142,8,T4,T14
385,23296142,8,T4,T15
386,23296142,8,T3,T12
387,23296142,8,T4,T12
388,23296142,7,T6,T19
389,16010412,5,T10,T34
390,11488610,5,T18,T46
391,11488610,5,T21,T48
392,11488610,9,T16,T43
393,11488610,9,T16,T44
394,11488610,9,T16,T45
395,11488610,9,T26,T30
396,11488610,5,T27,T30
397,11488610,9,T28,T50
398,11488610,9,T4,T47
399,11488610,9,T4,T49
400,11861317,0,T12,T48
401,11861317,0,T15,T48
402,11861317,8,T18,T53
403,11861317,8,T18,T54
404,11861317,8,T18,T55
405,11861317,8,T18,T56
406,11861317,8,T22,T58
407,11861317,8,T22,T59
408,11861317,8,T22,T60
409,11861317,8,T22,T61
410,11861317,8,T22,T29
411,11861317,8,T22,T30
412,11861317,8,T22,T32
413,11861317,8,T22,T31
414,23591111,8,T7,T9
415,23591111,5,T7,T10
416,23597450,8,T13,T36
417,23597450,6,T10,T34
418,23597450,6,T10,T35
419,23597450,8,T2,T14
420,23597450,6,T3,T20
421,11688549,11,T4,T20
422,11688549,11,T5,T20
423,10891536,8,T1,T51
424,10891536,8,T16,T51
425,10891536,8,T27,T51
426,10891536,8,T29,T51
427,10891536,8,T30,T51
428,10891536,8,T37,T51
429,10891536,8,T1,T52
430,10891536,8,T16,T52
431,10891536,8,T27,T52
432,10891536,8,T29,T52
433,10891536,8,T30,T52
434,10891536,8,T37,T52
435,10891536,8,T20,T47
436,10891536,8,T22,T48
437,16579965,5,T9,T20
438,16579965,5,T10,T21
439,14508322,0,T18,T35
440,14508322,1,T4,T34
441,14508322,1,T12,T29
442,14508322,4,T13,T30
443,14508322,4,T13,T31
444,14508322,5,T14,T31
445,14508322,5,T14,T30
446,14508322,5,T2,T21
447,14508322,4,T3,T21
448,14508322,0,T5,T23
449,14508322,0,T5,T24
450,14508322,1,T6,T25
451,23333908,8,T12,T19
452,23188391,7,T1,T6
453,12055598,8,T6,T27
454,12055598,8,T7,T28
455,12055598,10,T13,T35
456,12055598,10,T4,T24
457,17403374,11,T6,T17
458,17403374,10,T7,T17
459,17403374,11,T5,T17
460,17403374,11,T5,T16
461,17403374,11,T6,T16
462,17403374,10,T7,T16
463,23427190,8,T9,T14
464,23427190,8,T4,T12
465,23295229,11,T26,T38
466,23295229,11,T26,T44
467,23295229,10,T29,T38
468,23295229,10,T29,T44
469,23295229,8,T6,T39
470,23295229,5,T16,T39
471,23295229,5,T36,T47
472,23295229,5,T25,T46
473,23295229,5,T11,T40
474,23295229,5,T17,T42
475,23295229,5,T19,T43
476,23295229,5,T13,T41
477,12824918,8,T2,T10
478,12531805,8,T10,T38
479,12531805,8,T10,T39
480,12531805,8,T8,T27
481,12531805,8,T8,T28
482,12531805,8,T8,T29
483,12531805,8,T8,T31
484,12531805,8,T8,T32
485,12531805,8,T9,T33
486,12531805,8,T9,T34
487,12531805,8,T9,T35
488,12531805,8,T9,T36
489,12531805,8,T9,T37
490,12531805,8,T1,T13
491,12531805,8,T2,T14
492,12531805,6,T2,T15
493,12531805,8,T4,T17
494,23085085,9,T1,T4
495,23085085,9,T2,T4
496,12564641,4,T12,T23
497,12564641,0,T16,T24
498,12564641,0,T16,T25
499,11106255,8,T11,T30
500,11106255,8,T12,T30
501,11106255,8,T13,T30
502,11106255,8,T14,T30
503,11106255,8,T15,T30
504,11106255,8,T16,T30
505,17273558,5,T3,T12
506,17273558,7,T10,T13
507,23297161,9,T5,T16
508,23297161,9,T5,T17
509,23434226,9,T1,T8
510,11728431,0,T6,T32
511,11728431,4,T15,T31
512,11728431,0,T16,T31
513,11728431,4,T19,T34
514,11728431,0,T1,T38
515,11728431,9,T3,T26
516,11728431,0,T7,T30
517,23232060,8,T2,T19
518,23232060,8,T1,T3
519,23232060,8,T1,T4
520,15072849,1,T8,T20
521,15072849,0,T1,T11
522,15072849,0,T1,T15
523,15072849,0,T4,T11
524,15072849,0,T4,T15
525,15072849,7,T6,T14
526,15072849,7,T3,T9
527,15072849,7,T7,T18
528,22956632,4,T5,T24
529,22956632,4,T2,T13
530,22956632,0,T3,T14
531,23603059,7,T11,T29
532,23603059,8,T1,T12
533,23603059,7,T2,T15
534,23603059,7,T6,T21
535,23603059,7,T6,T22
536,23603059,7,T6,T23
537,23603059,6,T1,T28
538,23603059,7,T3,T16
539,16297435,8,T3,T34
540,16297435,8,T28,T35
541,16297435,5,T11,T30
542,16297435,8,T18,T31
543,16297435,8,T19,T31
544,16297435,8,T20,T31
545,16297435,8,T18,T32
546,16297435,8,T19,T32
547,16297435,8,T20,T32
548,22381584,1,T24,T39
549,22381584,1,T25,T40
550,22381584,4,T1,T28
551,22381584,4,T3,T29
552,23422033,0,T6,T15
553,23422033,0,T6,T16
554,23422033,0,T6,T17
555,23422033,0,T1,T12
556,23422033,0,T1,T13
557,23422033,0,T1,T14
558,23422033,0,T6,T17
559,12504781,5,T17,T22
560,12504781,5,T10,T20
561,12504781,5,T10,T21
562,12504781,8,T11,T20
563,12504781,8,T11,T21
564,22935610,9,T2,T15
565,18061638,1,T24,T59
566,18061638,0,T17,T47
567,18061638,4,T17,T48
568,18061638,0,T19,T53
569,18061638,4,T19,T54
570,18061638,4,T19,T55
571,18061638,0,T22,T56
572,18061638,0,T22,T57
573,18061638,0,T22,T58
574,18061638,0,T23,T26
575,18061638,0,T23,T27
576,18061638,0,T23,T28
577,18061638,0,T2,T29
578,18061638,0,T2,T30
579,18061638,0,T9,T33
580,14967461,8,T1,T22
581,14967461,8,T2,T22
582,14967461,8,T3,T22
583,14967461,8,T4,T22
584,14967461,8,T5,T22
585,14967461,8,T6,T22
586,14967461,8,T7,T22
587,14967461,8,T8,T22
588,14967461,8,T9,T22
589,14967461,8,T10,T23
590,14967461,8,T10,T24
591,14967461,8,T12,T26
592,14967461,8,T13,T26
593,14967461,8,T12,T27
594,14967461,8,T13,T27
595,14967461,8,T12,T25
596,14967461,8,T13,T25
597,16721761,11,T22,T37
598,16721761,11,T20,T25
599,16721761,11,T20,T32
600,16721761,11,T8,T26
601,16721761,11,T11,T27
602,8646863,5,T2,T5
603,23394205,8,T4,T11
604,23394205,8,T3,T11
605,23394205,8,T1,T6
606,23394205,8,T2,T7
607,23394205,8,T2,T8
608,23394205,8,T2,T9
609,23211364,8,T1,T21
610,23211364,7,T2,T12
611,23211364,4,T5,T15
612,12453616,0,T3,T7
613,16533791,8,T24,T45
614,16533791,8,T24,T46
615,16533791,8,T7,T33
616,16533791,8,T7,T34
617,16533791,8,T10,T33
618,16533791,8,T10,T34
619,16533791,8,T21,T42
620,16533791,8,T21,T41
621,16533791,8,T14,T39
622,16533791,8,T15,T39
623,16533791,8,T16,T39
624,16533791,8,T17,T39
625,16533791,8,T18,T39
626,16533791,8,T14,T38
627,16533791,8,T15,T38
628,16533791,8,T16,T38
629,16533791,8,T17,T38
630,16533791,8,T18,T38
631,16533791,8,T22,T43
632,16533791,8,T22,T44
633,16533791,8,T3,T29
634,16533791,8,T3,T30
635,16533791,8,T8,T31
636,16533791,8,T8,T32
637,23628791,0,T9,T24
638,23146758,7,T16,T24
639,23146758,7,T17,T24
640,23146758,7,T18,T24
641,23146758,10,T15,T24
642,23146758,10,T5,T19
643,23146758,0,T9,T22
644,23146758,0,T11,T22
645,23146758,8,T12,T23
646,23146758,10,T13,T23
647,23146758,11,T7,T21
648,23146758,10,T8,T21
649,23584948,8,T2,T7
650,23584948,8,T3,T7
651,23584948,8,T2,T8
652,23584948,8,T3,T8
653,23584948,8,T2,T9
654,23584948,8,T3,T9
655,23584948,8,T2,T11
656,23584948,8,T3,T11
657,22815312,0,T10,T25
658,22815312,0,T13,T16
659,22815312,7,T13,T17
660,22815312,0,T13,T17
661,22815312,0,T3,T18
662,22815312,0,T4,T18
663,22815312,0,T5,T18
664,8740147,11,T32,T57
665,8740147,11,T33,T57
666,8740147,8,T32,T58
667,8740147,8,T33,T58
668,8740147,8,T22,T35
669,8740147,8,T22,T36
670,8740147,8,T22,T40
671,8740147,11,T23,T51
672,8740147,8,T23,T52
673,8740147,8,T9,T41
674,8740147,8,T17,T47
675,8740147,8,T18,T49
676,8740147,11,T17,T48
677,8740147,8,T15,T45
678,8740147,8,T16,T45
679,8740147,11,T15,T46
680,8740147,11,T16,T46
681,12564662,8,T16,T21
682,12564662,8,T1,T21
683,12564662,8,T4,T21
684,12564662,8,T5,T21
685,12564662,8,T6,T21
686,12564662,8,T7,T21
687,12564662,11,T8,T19
688,12564662,11,T8,T20
689,12564662,10,T9,T19
690,12564662,10,T9,T20
691,12564662,8,T10,T22
692,12564662,8,T11,T22
693,12564662,8,T12,T22
694,12564662,8,T13,T22
695,12564662,8,T10,T23
696,12564662,8,T11,T23
697,12564662,8,T12,T23
698,12564662,8,T13,T23
699,12564662,8,T10,T24
700,12564662,8,T10,T25
701,12564662,8,T11,T24
702,12564662,8,T11,T25
703,12564662,8,T12,T24
704,12564662,8,T12,T25
705,12564662,8,T13,T24
706,12564662,8,T13,T25
707,12564662,8,T17,T26
708,23557706,8,T3,T16
709,23557706,0,T3,T18
710,23557706,8,T5,T22
711,23557706,6,T5,T23
712,23557706,6,T5,T24
713,23557706,8,T5,T25
714,23557706,8,T8,T36
715,23557706,8,T2,T14
716,18996527,11,T7,T17
717,18996527,11,T7,T21
718,18996527,10,T11,T17
719,18996527,10,T11,T21
720,18996527,10,T5,T22
721,18996527,8,T8,T23
722,18996527,0,T9,T24
723,18996527,0,T10,T24
724,18996527,10,T2,T18
725,23529824,8,T7,T22
726,23529824,8,T7,T23
727,23529824,6,T7,T24
728,23220589,8,T2,T28
729,23220589,8,T3,T28
730,23220589,8,T4,T28
731,23220589,0,T5,T29
732,23220589,0,T14,T30
733,23220589,0,T15,T30
734,23220589,0,T16,T30
735,23220589,0,T17,T30
736,23220589,0,T18,T30
737,23220589,0,T19,T30
738,23220589,8,T20,T31
739,16477002,9,T1,T10
740,23231808,8,T1,T3
741,16980198,11,T3,T16
742,16980198,10,T4,T16
743,16980198,11,T6,T19
744,16980198,10,T7,T19
745,16980198,8,T11,T24
746,16980198,0,T9,T23
747,23391631,7,T1,T24
748,23391631,7,T1,T25
749,23391631,7,T4,T26
750,23391631,7,T4,T27
751,23391631,6,T4,T28
752,23391631,7,T5,T29
753,23391631,7,T5,T30
754,23391631,4,T8,T34
755,23391631,7,T9,T35
756,23391631,7,T9,T36
757,23391631,6,T8,T35
758,23391631,6,T8,T36
759,23160941,0,T4,T24
760,23160941,1,T7,T26
761,23160941,1,T8,T26
762,23160941,1,T9,T26
763,23160941,5,T1,T27
764,23160941,5,T1,T28
765,23160941,5,T1,T11
766,23160941,5,T1,T12
767,23583258,7,T11,T23
768,23583258,7,T11,T24
769,23583258,7,T11,T25
770,23583258,7,T12,T23
771,23583258,7,T12,T24
772,23583258,7,T12,T25
773,23583258,0,T17,T29
774,23583258,7,T17,T30
775,23583258,8,T2,T29
776,23583258,6,T2,T30
777,23583258,8,T3,T29
778,23583258,6,T3,T30
779,23583258,7,T4,T21
780,23583258,0,T9,T22
781,23583258,8,T8,T22
782,23427088,11,T2,T27
783,23427088,11,T2,T38
784,23542819,0,T14,T22
785,23542819,0,T15,T22
786,23542819,0,T5,T20
787,23542819,0,T6,T21
788,23542819,0,T4,T17
789,23542819,0,T4,T18
790,23349483,7,T4,T26
791,16230360,8,T12,T28
792,16230360,8,T5,T17
793,16230360,8,T6,T19
794,16230360,8,T6,T20
795,16230360,8,T6,T21
796,16230360,8,T7,T22
797,16230360,11,T8,T22
798,16230360,6,T9,T23
799,16230360,8,T11,T27
800,16230360,8,T4,T16
801,23486479,10,T29,T38
802,23486479,10,T29,T39
803,10462128,4,T23,T36
804,10462128,4,T3,T31
805,19780818,8,T1,T26
806,19780818,8,T2,T26
807,10548268,8,T17,T32
808,10548268,8,T18,T32
809,10548268,8,T19,T32
810,10548268,8,T22,T33
811,10548268,8,T23,T34
812,10548268,8,T1,T35
813,10548268,8,T2,T35
814,23434322,5,T6,T14
815,1744096,11,T30,T45
816,1744096,11,T37,T45
817,1744096,10,T43,T45
818,1744096,10,T4,T45
819,1744096,5,T7,T50
820,1744096,5,T12,T50
821,1744096,0,T23,T52
822,1744096,0,T25,T52
823,1744096,0,T26,T52
824,1744096,0,T27,T52
825,1744096,0,T28,T52
826,1744096,5,T31,T53
827,1744096,5,T32,T53
828,1744096,0,T35,T54
829,1744096,0,T34,T54
830,1744096,5,T41,T55
831,1744096,5,T14,T47
832,1744096,0,T2,T46
833,1744096,0,T6,T46
834,1744096,8,T19,T49
835,16801455,10,T27,T50
836,16801455,11,T28,T50
837,16801455,11,T6,T36
838,16801455,11,T6,T38
839,16801455,11,T6,T39
840,16801455,11,T6,T40
841,16801455,10,T15,T41
842,16801455,8,T17,T42
843,16801455,8,T18,T42
844,16801455,8,T21,T46
845,16801455,0,T25,T49
846,16801455,0,T23,T48
847,16801455,8,T5,T31
848,16801455,10,T11,T37
849,15655528,1,T4,T12
850,15655528,1,T5,T12
851,15655528,1,T6,T12
852,15655528,4,T9,T16
853,15655528,8,T9,T17
854,20624440,8,T1,T16
855,20624440,8,T6,T16
856,19498041,5,T6,T7
857,23265880,5,T5,T12
858,23265880,5,T7,T14
859,23265880,5,T10,T15
860,23265880,5,T8,T15
861,8454631,8,T16,T27
862,8454631,8,T16,T28
863,8454631,8,T1,T19
864,8454631,10,T3,T20
865,8454631,10,T4,T20
866,8454631,8,T6,T23
867,8454631,8,T7,T23
868,8454631,8,T8,T23
869,8454631,8,T13,T25
870,8454631,8,T9,T23
871,8454631,8,T10,T23
872,8454631,8,T12,T23
873,8454631,8,T9,T25
874,8454631,8,T10,T25
875,8454631,8,T12,T25
876,12969258,1,T15,T30
877,12969258,0,T16,T31
878,12969258,7,T2,T22
879,12969258,0,T14,T31
880,12969258,0,T15,T31
881,15646028,0,T3,T16
882,15646028,0,T3,T17
883,15646028,0,T3,T18
884,11695891,5,T14,T21
885,11695891,10,T1,T15
886,11695891,10,T1,T16
887,11695891,8,T3,T17
888,11695891,8,T4,T17
889,11695891,5,T5,T18
890,11695891,5,T5,T19
891,11695891,9,T7,T20
892,11695891,5,T6,T20
893,11695891,9,T8,T20
894,23531416,6,T9,T23
895,23531416,6,T10,T23
896,23531416,8,T9,T23
897,23531416,8,T10,T23
898,23531416,11,T12,T23
899,23397054,11,T11,T32
900,23397054,8,T4,T20
901,23397054,11,T11,T33
902,23397054,8,T4,T21
903,23397054,8,T4,T22
904,23397054,8,T4,T23
905,23397054,11,T2,T14
906,23397054,11,T2,T15
907,11092898,9,T12,T32
908,11092898,9,T12,T33
909,11092898,5,T2,T16
910,11092898,5,T2,T17
911,11092898,5,T2,T18
912,11092898,5,T3,T19
913,11092898,5,T3,T20
914,11092898,5,T3,T21
915,11092898,5,T3,T22
916,11092898,5,T4,T19
917,11092898,5,T4,T20
918,11092898,5,T4,T21
919,11092898,5,T4,T22
920,11092898,5,T1,T34
921,11092898,5,T1,T35
922,11092898,5,T1,T36
923,10730683,8,T10,T14
924,10730683,7,T3,T12
925,10730683,7,T3,T13
926,21600945,4,T15,T43
927,21600945,6,T16,T44
928,21600945,8,T17,T45
929,21600945,6,T17,T44
930,21600945,8,T1,T23
931,21600945,1,T4,T26
932,21600945,1,T4,T26
933,21600945,8,T6,T27
934,21600945,8,T7,T27
935,21600945,8,T6,T26
936,21600945,8,T7,T26
937,23583884,7,T11,T27
938,23583884,7,T11,T28
939,23583884,7,T13,T29
940,23583884,7,T13,T30
941,23583884,7,T14,T31
942,23583884,7,T14,T32
943,23583884,0,T5,T23
944,23583884,0,T7,T24
945,23583884,7,T7,T24
946,23583884,0,T8,T25
947,23583884,0,T8,T26
948,23583884,0,T4,T21
949,23376140,0,T3,T17
950,23376140,9,T5,T21
951,23376140,9,T7,T24
952,23376140,0,T9,T27
953,23376140,7,T9,T28
954,9662053,9,T1,T7
955,9662053,9,T2,T7
956,9662053,9,T3,T7
957,23123425,6,T3,T23
958,23123425,6,T3,T24
959,23123425,6,T3,T25
960,23123425,6,T3,T26
961,23123425,6,T3,T27
962,23123425,6,T3,T11
963,14730417,1,T3,T33
964,14730417,1,T4,T33
965,14730417,1,T5,T33
966,14730417,1,T6,T33
967,14730417,1,T7,T33
968,14730417,1,T8,T33
969,14730417,1,T9,T33
970,14730417,1,T10,T33
971,14730417,1,T11,T33
972,14730417,4,T12,T33
973,14730417,4,T13,T33
974,14730417,4,T14,T33
975,14730417,4,T15,T33
976,14730417,4,T16,T33
977,14730417,4,T17,T33
978,14730417,4,T18,T33
979,14730417,4,T19,T33
980,14730417,4,T20,T33
981,14730417,4,T21,T33
982,14730417,4,T22,T33
983,14730417,4,T23,T33
984,23244065,10,T1,T13
985,23244065,10,T2,T13
986,23244065,10,T1,T14
987,23244065,10,T2,T14
988,23244065,10,T1,T15
989,23244065,10,T2,T15
990,15148258,8,T14,T33
991,15148258,8,T14,T32
992,15148258,8,T13,T30
